age,workclass,education,marital_status,occupation,sex,race,hours_per_week,income
44,Private,HS-grad,Divorced,Exec-managerial,Female,Hispanic,54,<=50K
18,State-gov,Some-college,Married-civ-spouse,Tech-support,Male,Hispanic,35,<=50K
64,State-gov,HS-grad,Never-married,Craft-repair,Male,White,26,>50K
33,State-gov,Some-college,Never-married,Tech-support,Male,Hispanic,45,<=50K
59,Local-gov,Some-college,Never-married,Tech-support,Male,Hispanic,48,<=50K
37,State-gov,Bachelors,Never-married,Other-service,Male,Hispanic,38,<=50K
69,Private,Bachelors,Divorced,Exec-managerial,Male,Hispanic,59,<=50K
69,State-gov,Some-college,Divorced,Tech-support,Male,Hispanic,45,<=50K
64,State-gov,Masters,Divorced,Exec-managerial,Male,White,56,<=50K
47,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Female,Hispanic,53,<=50K
57,Private,Some-college,Never-married,Other-service,Female,Black,36,<=50K
23,State-gov,Masters,Never-married,Tech-support,Male,Black,34,<=50K
29,Local-gov,HS-grad,Divorced,Exec-managerial,Female,Black,58,<=50K
54,State-gov,Some-college,Never-married,Tech-support,Female,White,22,>50K
54,Self-emp-not-inc,11th,Divorced,Exec-managerial,Male,Hispanic,48,>50K
19,Private,Bachelors,Never-married,Exec-managerial,Male,Black,30,<=50K
70,State-gov,Bachelors,Married-civ-spouse,Craft-repair,Female,Hispanic,41,<=50K
69,Self-emp-not-inc,HS-grad,Divorced,Sales,Male,Hispanic,31,<=50K
25,Local-gov,Bachelors,Never-married,Other-service,Female,Hispanic,50,<=50K
60,Private,Some-college,Divorced,Other-service,Male,Hispanic,33,<=50K
32,State-gov,Bachelors,Divorced,Craft-repair,Male,Black,47,<=50K
26,Local-gov,Some-college,Divorced,Other-service,Male,White,47,<=50K
18,State-gov,Some-college,Divorced,Sales,Female,Hispanic,52,<=50K
29,Private,Masters,Divorced,Other-service,Female,Hispanic,36,>50K
68,State-gov,11th,Married-civ-spouse,Tech-support,Female,Asian-Pac-Islander,27,<=50K
58,Local-gov,Bachelors,Divorced,Other-service,Female,Hispanic,57,>50K
48,Private,HS-grad,Never-married,Sales,Female,Hispanic,60,<=50K
54,State-gov,HS-grad,Married-civ-spouse,Tech-support,Female,Black,56,>50K
26,State-gov,Masters,Never-married,Sales,Female,White,47,<=50K
25,State-gov,Bachelors,Married-civ-spouse,Sales,Female,Asian-Pac-Islander,54,<=50K
