age,income,assets,credit_history,employment_years,gender,residence_type,risk_score,default
67,324250,189629,excellent,15,Female,own,768,0
66,296378,173108,fair,10,Female,mortgage,772,0
62,174019,220245,excellent,19,Male,rent,481,1
23,453524,261018,good,16,Male,own,629,0
29,412288,391524,good,17,Male,own,571,0
26,31221,693865,poor,13,Male,rent,384,0
33,266654,206118,good,18,Male,rent,984,0
39,342453,414752,good,5,Female,rent,252,0
28,380741,368629,good,8,Male,own,253,0
38,493001,182666,fair,6,Female,rent,964,0
62,308611,966040,good,22,Female,own,265,0
54,456353,383523,good,14,Male,rent,509,1
62,249237,270447,good,11,Male,mortgage,518,0
48,373478,720611,poor,8,Male,mortgage,205,0
39,414851,562035,fair,1,Female,mortgage,945,0
25,421364,869209,good,8,Female,mortgage,285,0
30,272906,147346,good,9,Male,rent,754,0
40,510529,162392,good,18,Male,mortgage,867,0
30,260331,207636,excellent,2,Female,mortgage,835,0
21,81726,635960,good,24,Female,mortgage,395,1
29,482047,708325,poor,18,Female,own,252,0
37,522478,309459,good,21,Male,own,80,0
26,157653,421560,good,8,Male,own,525,0
38,60026,304204,good,18,Female,own,763,0
67,110475,454303,good,18,Female,rent,841,0
57,421825,884206,excellent,2,Male,own,664,0
22,89366,130915,good,14,Female,own,333,1
37,326975,966776,fair,17,Female,own,615,1
35,508255,716780,poor,4,Female,rent,208,1
38,412949,63128,good,18,Male,own,132,0
28,357291,356105,poor,4,Female,own,670,0
43,409507,694456,fair,11,Female,rent,916,0
59,139250,496755,excellent,19,Female,rent,513,0
38,140975,745754,excellent,4,Female,own,370,0
62,304279,29428,fair,10,Male,mortgage,446,0
52,370615,509622,good,9,Female,rent,374,0
62,230218,835767,good,17,Male,own,778,0
46,287016,299861,poor,13,Female,own,220,0
39,162198,497230,good,8,Female,mortgage,482,0
68,515692,235474,fair,0,Male,own,977,1
39,138160,694872,good,4,Male,own,757,0
63,109962,814250,fair,11,Male,rent,954,0
61,311569,406827,good,19,Male,own,642,1
50,189316,577831,good,13,Male,own,848,0
30,37832,215121,good,15,Female,own,210,0
39,97129,306828,good,13,Female,mortgage,975,0
25,328452,401555,fair,21,Female,mortgage,780,0
61,392571,265581,fair,21,Female,own,553,1
58,275483,770031,excellent,11,Female,own,911,1
46,219364,430861,poor,5,Male,own,596,1
34,204946,818996,good,23,Female,mortgage,240,1
26,477621,903000,poor,11,Male,own,146,1
24,324398,735576,good,23,Female,own,922,1
68,342430,978058,excellent,9,Male,mortgage,378,0
69,43570,537568,fair,17,Female,own,969,1
35,256005,515092,good,13,Male,mortgage,608,0
37,121816,699639,good,4,Female,mortgage,682,1
29,194163,472935,poor,12,Female,mortgage,960,0
67,328005,874968,poor,13,Male,mortgage,614,0
67,32377,680101,fair,13,Female,own,112,1
62,217351,972709,good,14,Male,own,987,0
61,81802,230641,fair,22,Male,mortgage,511,0
68,318712,250037,good,3,Female,mortgage,331,0
34,226193,44781,excellent,15,Female,own,352,0
26,373739,751079,poor,5,Male,mortgage,828,0
47,292139,871471,poor,23,Male,own,914,0
34,504144,878972,fair,21,Male,own,849,0
61,88088,729636,fair,1,Female,own,266,0
50,185948,711381,good,6,Male,mortgage,806,0
35,219399,672662,good,14,Male,rent,733,1
56,173324,694818,good,19,Male,own,895,0
52,494270,866247,excellent,14,Male,rent,860,0
26,511420,299891,fair,24,Female,own,538,0
57,50250,110879,excellent,0,Male,rent,178,0
22,481033,842952,poor,13,Male,mortgage,827,0
49,225287,708754,excellent,24,Male,own,263,0
33,43924,810052,poor,6,Male,mortgage,548,0
28,412436,704578,poor,19,Female,own,740,0
63,290589,152034,good,20,Female,own,201,0
65,166121,516679,fair,14,Male,rent,839,0
52,394833,73725,good,5,Female,rent,981,0
39,276753,472780,fair,23,Female,own,424,0
28,496018,784813,excellent,14,Male,rent,486,0
56,442179,1000899,good,0,Female,rent,265,0
37,260425,208095,good,21,Female,rent,324,0
20,179047,878386,good,19,Female,own,46,0
23,403046,305394,good,20,Female,own,553,0
44,418726,192542,poor,1,Female,mortgage,33,0
22,110671,562227,good,10,Female,mortgage,899,0
63,290413,581068,good,4,Male,mortgage,382,0
60,416133,56297,good,22,Female,own,749,0
41,507298,631249,fair,21,Female,own,548,0
41,182621,419143,fair,2,Female,mortgage,382,0
44,450760,895811,good,21,Female,rent,293,0
22,435618,752025,fair,16,Male,rent,777,0
24,58800,362478,good,0,Female,mortgage,891,0
49,174600,957957,fair,15,Female,mortgage,461,1
57,65836,540684,good,3,Male,own,777,0
32,81372,276416,good,17,Male,own,687,0
23,326977,224736,fair,5,Male,mortgage,649,1
33,234210,188269,poor,16,Female,own,968,1
35,346111,481319,poor,21,Female,own,551,0
66,72645,298293,good,18,Male,own,793,0
31,318373,248335,good,7,Male,mortgage,603,0
41,383938,993809,good,17,Male,own,461,0
22,332262,430500,poor,20,Female,rent,976,0
65,104173,979992,fair,1,Male,own,848,0
58,462979,400816,poor,18,Female,own,945,1
50,380544,762262,poor,19,Female,own,520,1
60,250186,679510,poor,19,Female,mortgage,573,1
67,172890,225086,fair,6,Male,own,498,0
51,110410,968920,excellent,21,Male,own,368,0
40,331836,624367,good,23,Female,own,483,0
33,261931,946741,good,6,Female,own,207,0
23,353859,544912,good,0,Male,own,188,0
48,60278,29369,excellent,0,Male,rent,118,0
66,82553,872622,fair,2,Male,mortgage,368,0
56,303263,496550,good,10,Male,rent,901,0
34,231553,655326,excellent,20,Female,rent,20,1
46,307574,361661,good,20,Female,own,487,0
21,244593,138960,poor,9,Male,own,201,0
50,283167,949191,excellent,23,Male,rent,445,0
56,214793,828889,good,16,Male,own,142,0
54,63133,630038,fair,13,Female,rent,258,0
43,484311,836098,fair,2,Female,own,316,0
60,116642,179938,good,2,Male,mortgage,709,1
63,176060,884870,good,13,Male,own,836,0
39,440374,24153,excellent,17,Male,own,472,0
55,35257,694432,fair,2,Female,rent,725,0
50,254831,827976,excellent,20,Female,mortgage,924,0
62,236937,632643,fair,20,Male,own,692,0
26,155559,185373,good,16,Male,own,65,0
62,264519,273731,excellent,24,Female,own,614,0
49,464672,630780,poor,14,Male,mortgage,609,0
20,498056,179556,excellent,12,Male,rent,417,0
29,135822,962574,good,8,Female,own,21,1
50,387584,567604,fair,16,Female,mortgage,62,0
35,207967,682792,good,4,Female,rent,999,0
67,286695,328038,fair,18,Female,rent,975,0
67,37737,241694,excellent,24,Female,rent,218,0
67,420897,664272,poor,15,Female,rent,237,0
42,245222,452237,excellent,15,Male,own,706,0
40,414274,281519,good,16,Female,own,52,0
65,214776,579228,excellent,5,Male,rent,480,0
62,259193,305128,excellent,20,Female,own,422,0
46,89281,854608,excellent,18,Female,mortgage,217,0
34,508939,306206,fair,3,Male,rent,700,0
56,338389,474397,poor,21,Male,mortgage,1,0
48,404412,494531,poor,14,Female,own,652,1
37,177666,801549,excellent,22,Female,own,917,0
47,170725,501561,excellent,0,Male,own,33,0
25,96970,901891,fair,6,Female,own,722,0
69,109714,236569,excellent,16,Male,rent,275,0
49,483368,1001388,good,7,Female,own,656,0
24,371108,450328,good,11,Male,own,61,0
65,41410,645140,fair,13,Female,mortgage,196,0
43,488709,986695,poor,7,Female,own,834,0
33,196367,280890,fair,19,Female,rent,348,0
30,496801,791890,excellent,20,Female,mortgage,395,0
31,478513,140632,good,7,Female,own,79,1
27,495136,277213,good,12,Male,own,889,1
32,388799,424792,poor,2,Male,own,733,0
31,287118,621460,good,9,Female,own,109,0
45,226907,343490,excellent,11,Male,own,161,0
39,496889,312177,poor,12,Female,mortgage,661,0
42,414779,949217,fair,13,Female,rent,812,0
22,211376,199144,fair,13,Male,mortgage,161,0
39,41833,930250,fair,24,Male,own,309,0
22,178643,516569,fair,16,Male,own,359,0
54,69211,514494,good,22,Female,rent,573,0
20,144512,159089,good,13,Female,own,338,0
50,468340,594294,good,9,Male,own,799,1
42,100041,946194,good,22,Male,own,579,0
44,204253,86449,fair,24,Male,own,477,0
47,68843,1007730,poor,18,Female,rent,572,0
49,198593,48053,fair,13,Female,rent,717,0
46,337433,510438,good,19,Female,mortgage,471,0
42,484876,292495,good,0,Male,own,582,0
38,374243,893058,excellent,1,Male,own,219,0
34,346931,35876,good,11,Female,own,177,0
69,350573,987030,excellent,17,Male,own,882,0
65,390961,122584,good,4,Male,own,515,0
36,314555,846526,excellent,9,Male,own,571,0
35,376496,681465,excellent,22,Male,own,384,0
41,32140,340013,excellent,19,Female,own,600,0
32,172225,172738,poor,7,Male,mortgage,788,0
35,44754,669832,poor,3,Male,rent,627,0
47,428562,936045,poor,19,Male,own,546,0
41,360234,915941,fair,10,Female,own,245,0
29,387132,989570,poor,20,Male,rent,524,0
67,520328,481091,good,15,Male,rent,262,0
25,170321,744773,fair,13,Female,rent,211,0
66,271805,970659,good,21,Male,own,152,0
20,363745,195747,poor,13,Male,own,427,0
26,286517,28132,good,7,Male,own,444,0
65,269206,173352,poor,6,Male,mortgage,960,0
54,287603,939869,good,14,Male,own,486,0
48,149780,880924,excellent,1,Male,own,622,0
32,519043,74261,poor,22,Female,rent,985,0
39,291719,388544,good,18,Male,own,138,0
24,517437,239788,fair,8,Male,rent,669,0
50,60497,232165,fair,23,Male,rent,844,0
66,421142,224741,excellent,12,Male,mortgage,62,0
23,156348,712973,good,11,Male,own,553,0
28,79970,633180,poor,2,Female,own,743,0
24,290929,856227,good,5,Male,rent,244,0
54,236760,606198,excellent,1,Male,mortgage,902,0
50,524025,23476,good,13,Female,own,281,0
44,401395,833502,good,2,Female,own,356,0
47,149379,739649,fair,20,Male,rent,308,0
50,443243,380086,poor,12,Female,mortgage,26,0
32,254308,110219,fair,14,Male,own,629,0
38,267535,879919,excellent,7,Male,own,675,0
50,303730,712990,excellent,22,Female,rent,634,0
43,148821,181779,fair,14,Female,mortgage,878,0
