age,education,years_experience,gender,race,department,interviewed,hired
28,Bachelors,12,Female,Hispanic,Finance,no,no
26,PhD,3,Female,White,Marketing,no,no
34,Bachelors,12,Female,White,HR,yes,no
31,Masters,8,Female,Asian,Sales,yes,no
25,Bachelors,1,Female,Asian,Sales,no,no
44,Bachelors,8,Female,Asian,Engineering,yes,no
51,Bachelors,10,Female,Hispanic,Sales,no,no
31,PhD,3,Male,Hispanic,HR,yes,no
33,Bachelors,12,Female,White,Marketing,no,no
44,Bachelors,12,Female,Hispanic,Sales,yes,no
30,PhD,2,Male,White,Engineering,yes,no
45,Masters,10,Male,White,Finance,yes,yes
24,PhD,2,Male,Asian,HR,yes,yes
45,Masters,11,Female,Black,Sales,yes,yes
33,Bachelors,10,Male,Black,HR,yes,no
51,Bachelors,11,Female,Asian,Engineering,no,no
48,Bachelors,7,Male,White,Finance,yes,yes
23,PhD,2,Male,White,Finance,yes,no
32,PhD,5,Female,White,Sales,yes,yes
44,PhD,8,Female,Asian,HR,yes,no
23,Masters,9,Female,White,HR,no,no
24,Bachelors,10,Female,White,Finance,yes,no
44,Bachelors,5,Female,White,Engineering,yes,no
46,Masters,4,Male,White,Sales,yes,yes
37,Masters,4,Male,Asian,Marketing,yes,yes
42,Masters,10,Female,White,Engineering,no,no
29,Bachelors,11,Male,Black,Finance,no,no
51,PhD,3,Female,Hispanic,Finance,yes,yes
32,Bachelors,2,Male,White,Marketing,no,no
49,Bachelors,8,Male,Black,Sales,yes,no
39,Bachelors,6,Male,Asian,Engineering,yes,no
50,Bachelors,8,Male,Asian,Finance,no,no
48,PhD,11,Male,Black,Engineering,yes,yes
34,Bachelors,2,Male,Black,HR,no,no
49,Masters,1,Male,Hispanic,Marketing,yes,yes
28,Bachelors,1,Male,White,HR,yes,no
52,Bachelors,3,Male,Black,Engineering,no,no
30,PhD,2,Male,Hispanic,HR,no,no
30,Masters,3,Female,White,HR,yes,no
34,Bachelors,2,Female,White,Engineering,no,no
48,Bachelors,9,Male,Hispanic,Marketing,yes,no
32,PhD,7,Male,Black,HR,yes,yes
51,Bachelors,9,Female,White,Finance,yes,yes
46,Bachelors,9,Male,White,HR,yes,yes
43,Bachelors,11,Male,White,Sales,yes,no
52,Bachelors,8,Male,White,Finance,yes,no
29,Bachelors,7,Female,White,Engineering,no,no
40,Bachelors,1,Male,White,Engineering,yes,yes
38,Bachelors,1,Female,White,Sales,yes,no
36,Bachelors,3,Female,White,Finance,no,no
33,Bachelors,8,Female,White,Sales,no,no
25,Bachelors,10,Male,White,HR,yes,no
48,Bachelors,4,Male,Black,Finance,yes,yes
51,PhD,3,Female,Asian,Marketing,yes,no
28,Masters,5,Female,Asian,Sales,yes,no
42,Masters,3,Female,White,Sales,yes,no
48,Bachelors,5,Female,Black,Marketing,no,no
31,Bachelors,12,Female,Black,Engineering,yes,no
42,Masters,8,Male,Asian,Finance,no,no
52,Bachelors,4,Female,Asian,Sales,yes,no
52,Bachelors,8,Male,White,HR,no,no
41,Bachelors,11,Male,Hispanic,Sales,yes,no
28,Bachelors,2,Male,Hispanic,HR,no,no
33,Bachelors,7,Male,Hispanic,Sales,no,no
50,PhD,10,Female,Asian,HR,yes,no
38,Bachelors,11,Male,White,HR,yes,yes
