age,annual_income,credit_score,employment_type,gender,loan_amount,loan_term_months,approved
26,280512,715,Contractor,Female,592291,12,0
56,240097,468,Government,Female,129493,12,0
49,243953,761,Contractor,Male,757183,12,1
21,209978,681,Contractor,Female,1474191,48,1
50,181234,638,Salaried,Female,666860,60,0
53,149370,841,Government,Female,265335,36,0
48,187797,437,Government,Male,836111,24,0
26,49855,806,Contractor,Male,1015782,48,1
32,149262,752,Government,Male,393394,360,1
34,49672,613,Self-employed,Male,1047850,120,0
51,241378,571,Government,Male,965129,48,1
41,167413,746,Salaried,Female,1400835,180,1
62,179916,561,Government,Male,1534493,360,1
22,270946,736,Salaried,Male,982568,36,0
64,109239,487,Contractor,Female,941112,48,1
57,194114,569,Salaried,Male,697953,12,0
32,78485,768,Contractor,Male,1142869,24,0
27,288568,799,Contractor,Male,684933,120,1
47,71347,730,Salaried,Female,571617,360,0
27,239842,633,Government,Female,1319701,360,0
24,116441,619,Salaried,Female,323304,360,0
63,182266,507,Contractor,Male,1527057,12,1
62,164537,401,Government,Male,1171191,180,1
59,152885,561,Contractor,Male,1027065,12,1
29,198286,518,Self-employed,Male,580636,12,0
50,290651,524,Salaried,Male,671350,24,1
65,288794,846,Self-employed,Female,300261,24,0
48,245089,412,Self-employed,Female,993799,360,0
36,280628,834,Contractor,Male,101116,24,1
23,55827,756,Salaried,Male,419582,12,1
33,263321,421,Salaried,Female,1559507,360,0
31,276427,659,Self-employed,Male,1549586,120,1
54,79788,627,Government,Male,1407602,360,0
23,143366,433,Salaried,Male,1146735,60,1
24,210488,788,Salaried,Female,1508198,360,0
22,84193,807,Government,Female,937484,120,1
40,147924,566,Self-employed,Female,881080,180,0
52,193835,766,Salaried,Male,862171,180,1
52,247674,417,Contractor,Male,244380,12,1
38,162782,565,Contractor,Female,1435703,24,1
57,82021,435,Contractor,Female,1272030,120,1
22,287915,716,Self-employed,Female,1010734,180,0
31,189755,768,Salaried,Female,621264,180,0
52,205539,503,Self-employed,Male,1491558,48,1
59,175046,847,Government,Female,964614,360,1
23,79941,688,Salaried,Female,313132,24,0
35,138746,582,Government,Male,362372,12,0
42,196236,581,Self-employed,Male,220222,24,0
60,155750,768,Contractor,Male,1583714,120,1
40,46950,598,Contractor,Female,153058,36,1
35,53413,656,Government,Female,1014748,120,0
49,183207,603,Self-employed,Male,495826,360,1
45,83034,622,Salaried,Female,1344871,12,1
46,49366,531,Salaried,Female,1501080,60,0
60,207356,562,Government,Male,1596963,360,0
37,194192,493,Government,Female,1345007,12,1
63,214224,562,Salaried,Male,1037274,48,1
23,83431,503,Salaried,Female,1361367,360,1
21,198355,432,Salaried,Male,1292439,360,1
53,93310,746,Self-employed,Female,569543,12,1
50,255457,623,Contractor,Male,702993,360,1
62,54020,759,Contractor,Male,1271204,48,0
41,145087,629,Salaried,Female,624255,48,1
27,254997,490,Self-employed,Female,173744,120,0
58,78158,737,Government,Female,126412,12,0
61,126046,415,Salaried,Male,187943,180,1
22,192277,594,Government,Male,1151773,36,0
39,185752,417,Self-employed,Female,1187501,180,1
65,92707,804,Salaried,Male,1044066,360,1
33,188430,487,Salaried,Male,427649,60,1
60,81360,482,Self-employed,Male,815712,360,1
62,146330,766,Salaried,Male,1073514,60,1
42,174224,418,Government,Male,147946,36,0
50,239505,734,Self-employed,Male,571851,48,0
30,288193,509,Salaried,Male,185898,360,1
25,226174,660,Contractor,Female,123487,48,0
59,157214,836,Salaried,Male,1525089,36,1
48,226101,412,Salaried,Female,544125,48,1
54,188185,804,Salaried,Male,131190,24,0
24,114425,559,Salaried,Male,1164096,36,0
54,238192,814,Contractor,Male,1071329,360,0
28,252875,812,Government,Male,461976,360,0
58,160693,807,Salaried,Female,1191653,360,1
61,114467,546,Government,Male,266890,36,1
53,256666,481,Government,Male,829651,360,1
56,141860,522,Self-employed,Male,731838,180,1
